symbol
RIVN
LCID
SOFI
RBLX
SNAP
PINS
DKNG
ROKU
NET
SNOW
MDB
CHWY
AFRM
UPST
TWLO
DOCU
RUN
PLUG
NIO
BABA
SE
NU
HIMS
RDDT
DUOL
TOST
DOCS
CART
U
PATH
OSCR
CPNG
GRAB
LI
XPEV
BIDU
JD
RIOT
MARA
CLSK
AI
IONQ
RGTI
ASTS
RKLB
SOUN
CRWV
NBIS
ETSY
W
BBAI
TEM
GTLB
S
PSTG
ESTC
CFLT
FROG
BRZE
ASAN
MNDY
PD
FSLY
BL
DT
PCOR
APPN
VERX
BILL
LMND
ROOT
DAVE
MQ
FOUR
BTBT
HUT
BITF
CIFR
WULF
IREN
CORZ
CHPT
BLNK
BE
FCEL
SEDG
ARRY
QS
STEM
EVGO
MVST
FLNC
OKLO
SMR
NNE
AMPX
CRSP
NTLA
BEAM
EDIT
SRPT
RXRX
SDGR
DNA
ABSI
CRBU
VKTX
AXSM
IOVA
KRYS
TGTX
ARWR
DVAX
CYTK
SAVA
LUNR
RDW
ACHR
JOBY
KTOS
AVAV
PL
BKSY
SPCE
RCAT
DRS
GME
AMC
BYND
PTON
DJT
RUM
FUBO
OPEN
RKT
Z
INDI
AEHR
LSCC
POWI
NVTS
CRDO
ALAB
SITM
MTSI
AMBA
RMBS
ACLS
CAMT
ONTO
