ADBE
ADP
AFMJF
ANF
ANPMF
AU
BAH
BBWI
BBY
BCRX
BKE
BMBL
BKNG
BMY
BLKB
BR
CI
COLL
COR
CTSH
CROX
DLX
DECK
DOX
EDVMF
EPAM
EGHSF
EVER
FOXA
GCT
GDDY
GEN
GIB
GILD
GIS
GTM
HALO
HAS
HPQ
HRB
HRMY
IDT
INCY
INVA
INTU
IT
KFY
KHC
LDOS
LUGDF
LULU
MD
MO
MTCH
OMC
OTEX
PBI
PFE
PRDO
PXED
PLTK
PTC
QTTB
RIGL
SBC
SIGA
SIRI
SSTK
SPRO
STRA
TNET
TTEK
UIS
UPWK
VSNT
VXRT
WDOFF
WLY
XPOF
YELP
ZM
