Date,Open,High,Low,Close,Volume
2024-10-30,117.80423187071962,122.49449230981138,116.3603039664846,119.5269775390625,1004100
2024-10-31,118.89962057085307,119.63651725511625,117.01754178160249,118.09300994873047,946500
2024-11-01,119.39752349165497,123.65958561252205,119.39752349165497,120.53274536132812,1474300
2024-11-04,122.02646173017753,128.29010258432186,120.24396232929902,124.29690551757812,2389100
2024-11-05,122.77330516699196,125.47194692325402,120.92109962842648,125.43211364746094,855900
2024-11-06,128.49922167611206,128.95730062661733,120.09459659302568,124.33674621582031,1441900
2024-11-07,124.91430670914856,125.63129053857635,122.98243445734823,123.48033905029297,829300
2024-11-08,122.65381233498593,123.45046270144229,118.48137712351392,121.95674896240234,999700
2024-11-11,121.0406046417736,121.58829511319804,118.52120112250614,120.13441467285156,1293800
2024-11-12,119.49711037074674,120.25392753037286,119.15853887145869,119.84564208984375,691100
2024-11-13,119.72613400749471,120.34353080040681,118.83985689983126,119.2381820678711,808700
2024-11-14,119.08880965666654,119.08880965666654,115.39435871322098,115.56365203857422,732500
2024-11-15,114.75704971909899,117.04741391085008,108.76228169685508,109.06101989746094,1817400
2024-11-18,109.06102400140831,110.33566620319009,108.54320654242004,109.01123809814453,1299200
2024-11-19,108.02537921773616,109.7082915038179,106.72086407365,109.44938659667969,843900
2024-11-20,109.8576757388716,110.90327848636913,108.08513649619104,110.87339782714844,952200
2024-11-21,110.91322855073291,113.65170391467583,109.26018919079378,110.64436340332031,1375000
2024-11-22,110.64435847740901,112.15798508649958,108.7124862391327,111.56050109863281,1143900
2024-11-25,112.52644969803143,114.73714753600504,110.48503761586828,114.17949676513672,1408800
2024-11-26,113.16375350783271,114.757046660867,111.82937286636057,114.58776092529297,1013600
2024-11-27,115.49395236737868,116.51963461010523,114.22927045062995,115.74290466308594,622400
2024-11-29,115.57361560457203,116.43001214128822,115.23504411664402,115.65328216552734,389600
2024-12-02,115.3047474549602,116.35034254993552,114.67739039797502,116.21092987060547,775200
2024-12-03,116.09143129084698,116.55946280193704,114.07989257476893,114.5379638671875,699500
2024-12-04,113.990271355813,116.73870665848192,113.58198596922848,115.643310546875,742900
2024-12-05,115.04583976923756,115.7030775114728,113.8608243477403,114.60768127441406,1216100
2024-12-06,115.3246615842674,117.04741485154962,115.16533606214804,115.97193908691406,709500
2024-12-09,116.02173113998964,120.10454730956315,116.02173113998964,119.785888671875,709500
2024-12-10,120.28378715681886,120.30369999679088,117.0772805044461,117.34614562988281,743100
2024-12-11,118.00338979547546,118.97928615099536,115.8424856622643,116.15118408203125,973300
2024-12-12,115.5039061607066,116.33042961421984,115.10558096405025,115.5238265991211,1456000
2024-12-13,116.22089421420957,116.22089421420957,112.59614922815291,115.4541244506836,1275000
2024-12-16,114.80684725500659,115.76282320591973,114.02015705013169,114.68734741210938,698100
2024-12-17,114.61764335191366,116.917967889602,113.85087357096532,114.26911163330078,743700
2024-12-18,113.60190916922829,114.71721055010606,108.64277628058542,108.68260955810547,1006600
2024-12-19,108.54319708070408,110.57464865335454,107.18889603227043,110.07674407958984,739000
2024-12-20,109.68838353268467,113.18367590840865,109.68838353268467,112.0882797241211,2049600
2024-12-23,110.8534686474158,111.9687775738766,109.88753260535732,111.79948425292969,659700
2024-12-24,111.7696222598373,112.63597899719682,110.8136463414171,111.86920166015625,214100
2024-12-26,110.9829312465133,112.24761317305267,110.47507402948207,112.02853393554688,266200
2024-12-27,110.84351748294874,112.21773901479327,110.51490622732693,111.52066802978516,345800
2024-12-30,110.43523569001523,111.61029078490598,108.93156175392313,110.84351348876953,400000
2024-12-31,111.55055079821881,112.50653438071342,110.76386816265506,111.14227294921875,337900
2025-01-02,111.95883028515578,113.14384568153297,110.893314729585,111.53063201904297,715300
2025-01-03,111.56050410621756,113.37287655681223,110.2659566971764,113.1239242553711,482700
2025-01-06,113.02434558419158,116.88808259243851,112.9845123040132,115.10558319091797,766100
2025-01-07,115.5537002932581,118.90958002691544,115.07570853516394,116.1113510131836,690000
2025-01-08,115.60348715648156,116.47980412070781,113.0940512985185,115.9321060180664,770400
2025-01-10,113.52224794608293,115.40432671213219,113.10400990861004,113.40274810791016,641200
2025-01-13,117.84406211053683,122.36503698317163,116.75863368297557,122.185791015625,1175900
2025-01-14,122.11607615057805,122.45465522005884,118.75024388089146,120.22404479980469,723600
2025-01-15,121.54845929427826,122.48452230239803,116.99761189962257,118.45149230957031,936200
2025-01-16,118.02329861163338,119.37759968059916,116.11134684277144,119.02906799316406,667200
2025-01-17,118.88957426840769,119.92582356778783,117.80350989615341,117.96292877197266,659400
2025-01-21,118.59065980130302,123.59255558073113,118.40135035120393,123.50287628173828,1231300
2025-01-22,122.7954369077782,123.72208244313974,122.01825180106334,122.33709716796875,936400
2025-01-23,122.1776798312759,122.73565732995174,118.63051652746626,122.58619689941406,995500
2025-01-24,122.53637221399532,124.14055739688139,121.65954181127144,122.70575714111328,729300
2025-01-27,123.31355929351363,124.54908407905346,122.37694774863986,123.61247253417969,1174000
2025-01-28,125.16686105895359,126.2628915729246,124.16050224434797,125.136962890625,1201400
2025-01-29,123.85161744649433,124.18042126483822,121.86879047139642,123.07442474365234,934200
2025-01-30,124.51919680717839,127.82721266182674,123.72207960724936,126.3824462890625,1528900
2025-01-31,125.01739544078804,127.57811681799079,121.12149626771782,125.67501068115234,1210200
2025-02-03,125.2864129862749,126.1134207320325,122.68582749304771,123.24381256103516,872500
2025-02-04,121.9285700329372,124.36972895897615,121.44033216623137,122.7157211303711,839400
2025-02-05,123.64236261303014,123.65232866824175,121.7591810772921,121.92857360839844,861700
2025-02-06,121.96844000722722,122.8950779656435,118.51095595322306,118.73016357421875,943000
2025-02-07,118.61058725616064,119.29810064791083,116.20927721370579,118.43123626708984,942600
