Date,Open,High,Low,Close,Volume
2024-11-05,200.79930280286945,205.63408867686013,200.1559616611272,205.44888305664062,1438500
2024-11-06,214.63106833114645,221.38610586708432,214.63106833114645,220.91822814941406,3377800
2024-11-07,218.33510990230326,218.65678044243583,214.87473092355143,214.9527130126953,1781100
2024-11-08,216.1906702794706,222.3218809046313,215.48886112482043,219.58282470703125,1786800
2024-11-11,224.1934175241748,229.0282038551519,220.48934939036664,228.89173889160156,1973700
2024-11-12,228.09241458481114,231.6795018287144,225.83097837782182,231.4260711669922,2221400
2024-11-13,229.89571756528235,232.08891388131238,226.73750951571597,228.3361053466797,1850000
2024-11-14,229.0671458113834,230.45129443954377,225.67500671034855,227.12738037109375,1404000
2024-11-15,226.61077929895927,228.33609784212953,224.66127152656117,225.64578247070312,1737700
2024-11-18,225.15841624531913,227.4100954498504,222.000208149218,225.90896606445312,1410500
2024-11-19,221.4348443200066,228.96968789230328,219.61205926480034,228.74549865722656,1387300
2024-11-20,228.23861379613498,232.66400471616922,228.18013094342714,229.91519165039062,1883400
2024-11-21,229.89571820863597,233.34634054447793,229.43758267589803,231.57229614257812,1403500
2024-11-22,231.50406737801893,236.0854080524709,231.07517325236924,235.39334106445312,1727700
2024-11-25,236.21210027234827,238.10312510524344,232.09863786999534,234.32107543945312,2433600
2024-11-26,235.40305473468055,239.7017227820995,234.90593562574853,238.3273162841797,1615700
2024-11-27,237.98617640908432,239.08765315742357,234.70126028167792,235.52005004882812,1103100
2024-11-29,235.30558852314883,238.81470855750112,235.2763470956596,237.8984375,787000
2024-12-02,240.62775372172175,243.22060272327073,238.07390320623944,240.18911743164062,1832800
2024-12-03,241.25159832561621,242.5967635121846,237.52803116366337,239.69198608398438,1226200
2024-12-04,239.79920059401283,243.70797323594846,239.06813517203253,243.43504333496094,1507600
2024-12-05,245.63797152766094,249.2445578174417,244.01013437419016,244.7996826171875,2242300
2024-12-06,247.44127192580757,251.69118445300515,245.335800030334,251.57421875,1896500
2024-12-09,251.43778279499256,252.1688482269449,237.63524899651267,240.9006805419922,2438600
2024-12-10,244.21485820671091,248.20161333129573,237.55730154111845,239.45806884765625,2301500
2024-12-11,241.8169465554328,243.68847223738825,239.0096505957176,239.3215789794922,2019400
2024-12-12,240.33530535279561,241.8364346014758,237.38180239590233,237.98614501953125,1725700
2024-12-13,238.03488006001206,240.74469449189826,236.97240196501588,238.9803924560547,1931700
2024-12-16,241.251580980089,243.4057935606832,235.3543171369741,236.8651885986328,2009000
2024-12-17,234.87670179597075,237.30382944146695,232.12788871123547,235.95867919921875,1929500
2024-12-18,235.95868216479525,236.7287311963767,223.24788306296205,223.73526000976562,2321800
2024-12-19,227.40033027310827,229.79823140606146,222.1464073589154,224.9342041015625,2311500
2024-12-20,230.8606827718885,235.27631622618182,228.74546884416256,232.41053771972656,6309200
2024-12-23,231.99143834825577,232.76148741857264,226.68877452052527,231.86471557617188,1240500
2024-12-24,232.50804933188226,234.63302059331238,230.85097065696195,234.23336791992188,514100
2024-12-26,232.30336676714452,233.29760507974714,230.52930745209216,231.7574920654297,988000
2024-12-27,230.28219367546217,230.28219367546217,225.69023091974412,227.36093139648438,1102000
2024-12-30,223.120683052366,230.29197716314914,222.32930409537366,227.40000915527344,2178000
2024-12-31,226.60862710599446,229.58852275552795,224.84023417031815,225.38735961914062,1217100
2025-01-02,226.21781713288868,228.22069883337886,222.3097610960496,223.75575256347656,1438400
2025-01-03,224.74253877319924,225.20173656534752,218.51896409943174,223.67759704589844,2733100
2025-01-06,225.6902529334138,227.24370174580227,222.08506858568268,223.1597900390625,1541900
2025-01-07,222.7298901799265,222.75919940825722,215.3827404813297,220.15057373046875,1784000
2025-01-08,219.35916626648475,222.92526105881757,218.04995630282212,221.99710083007812,2141200
2025-01-10,219.00747474103937,225.1626662858526,217.18044831575654,221.73333740234375,2505600
2025-01-13,217.82526308694003,222.75918665005344,217.81549831407273,222.0068817138672,1877600
2025-01-14,224.37125420700912,225.10401469090928,221.0884866428144,224.4494171142578,1996000
2025-01-15,228.40632107353827,230.57529324501246,225.74884192485007,227.13619995117188,2275200
2025-01-16,228.38676340004594,229.36377729791957,225.08446656270633,227.9178009033203,1213600
2025-01-17,230.20402080103713,237.88335100007907,229.0609162750944,236.25173950195312,2933700
2025-01-21,239.3684537204212,244.3609963514835,236.6719001801021,237.68798828125,2048000
2025-01-22,237.0529258290877,237.41441626022436,230.3017551056486,230.7316436767578,2105000
2025-01-23,230.3310603247255,233.28164690483635,227.64427171012107,232.67588806152344,1776500
2025-01-24,231.43507930459796,231.65978834860974,226.61839256958194,226.76495361328125,2723000
2025-01-27,221.35229156694305,232.03106244103037,221.35229156694305,231.37646484375,3065800
2025-01-28,241.07819575706145,263.75468152616804,240.34543528363574,259.1529541015625,8091000
