Date,Open,High,Low,Close,Volume
2024-11-04,26.804000213076844,27.568751091874017,26.68126341815608,26.747352600097656,7448600
2024-11-05,26.303609096478613,26.700145980373094,25.963719824341887,26.51131820678711,3094900
2024-11-06,26.93617840460545,27.219418249548422,25.491650873488243,26.048690795898438,5560800
2024-11-07,26.2563997575297,26.955059598740906,26.020365954385575,26.756792068481445,5269700
2024-11-08,26.454668215799366,26.511315822462453,25.859862043054644,26.18086814880371,3727900
2024-11-11,26.143107087855125,26.70958863075809,26.05813476637992,26.464113235473633,3444900
2024-11-12,26.04869412657797,26.25640325270825,23.886623337587412,24.415340423583984,7630300
2024-11-13,24.41533889658867,25.28394342549238,24.34924971517129,24.66081428527832,5096100
2024-11-14,24.547513127515533,24.925166815472192,24.226507042553667,24.84963607788086,3367900
2024-11-15,25.246175494100967,25.463326161885675,24.887404903882537,24.906286239624023,3413700
2024-11-18,24.868523995861512,24.981819223643082,24.27371774722515,24.368131637573242,3066600
2024-11-19,24.07544931245301,24.339807835542658,23.96215228804456,23.971593856811523,3299400
2024-11-20,23.839414537700012,24.160420659697,23.77332535978211,24.018800735473633,5157300
2024-11-21,24.122655118856077,24.67969506507674,24.05656593893076,24.594722747802734,4545200
2024-11-22,24.481428015846358,24.78355101629878,24.349249653347208,24.575841903686523,3653400
2024-11-25,24.651372287895892,24.962936852587248,24.556958401457127,24.764667510986328,6762100
2024-11-26,24.547516748436106,24.575841454508996,23.90550448381133,23.981035232543945,4273100
2024-11-27,24.06600648816474,24.528632528840127,23.981034174490176,24.292598724365234,4165300
2024-11-29,24.283157393502457,25.31226493513797,24.27371582513575,24.9818172454834,6004600
2024-12-02,25.06678949062659,26.228077185387566,24.93461113544852,26.039249420166016,7008300
2024-12-03,26.246958521273697,26.331930835543893,25.55774023956659,26.039249420166016,4220800
2024-12-04,26.16198668788397,26.284725277772534,25.095114656918746,25.227293014526367,3423100
2024-12-05,25.189229016074524,25.474714385460036,24.361325619494934,24.37084197998047,4612700
2024-12-06,24.485034562145284,24.65632541997025,24.10438921978989,24.34229278564453,3238300
2024-12-09,24.71342419377956,25.63649128155546,24.63729511783457,24.751489639282227,5160700
2024-12-10,24.646809688700596,24.979875052411458,24.113906195799345,24.570680618286133,4383400
2024-12-11,24.84664901023132,25.55084334768128,24.761003581279013,25.474714279174805,5571800
