Date,Open,High,Low,Close,Volume
2024-11-05,107.25707195359057,112.32606565297044,106.81803059021685,112.19635009765625,4133600
2024-11-06,116.73649608148061,120.17902495755902,114.83063875641,120.1690444946289,7598500
2024-11-07,122.62370684524618,124.58445281018119,120.67793538037532,121.90526580810547,7696700
2024-11-08,121.34648762261644,125.53239730101451,120.33867402909793,125.4775161743164,4621500
2024-11-11,129.86796973150967,130.01765382947434,123.57663944818289,126.52523803710938,6556500
2024-11-12,124.83889593541005,126.39551308772957,120.98725967807295,123.54170989990234,6110700
2024-11-13,125.7169978554101,128.4311128849553,124.02068452641508,124.26016235351562,4591000
2024-11-14,124.5295812429413,124.59942925953133,119.35082471350339,120.76774597167969,5020200
2024-11-15,118.76209587942886,122.98293337241765,118.38292203035135,120.60809326171875,6155000
2024-11-18,124.36991797375667,127.06406432024777,119.4605809094179,122.75342559814453,7583700
2024-11-19,123.36208847345152,140.81418514743382,123.36208847345152,140.63458251953125,14850300
2024-11-20,140.295340710314,141.45281554103357,134.11875135173753,137.24195861816406,10605600
2024-11-21,138.67883982183,145.3543456895827,136.98252659884605,141.18341064453125,10137200
2024-11-22,141.95172659769085,142.5903391513958,138.8384923015947,139.84629821777344,4944000
2024-11-25,140.7244265397862,141.39297301162648,130.3669122005859,131.74392700195312,10649700
2024-11-26,133.27059247478726,135.166484586643,129.95779434915613,131.4545440673828,7680900
2024-11-27,129.76320748391146,130.3868531897777,124.25017792148145,126.6649398803711,7384600
2024-11-29,129.65845052995445,130.69619037532917,127.0241714486054,127.32351684570312,3018300
2024-12-02,128.72047556498052,131.7040021465463,123.78120454774846,126.77470397949219,5331900
2024-12-03,127.60113806787595,131.43395969590733,126.09396485864615,127.92054748535156,7607800
2024-12-04,129.9667363715063,132.6516978720014,128.97858049790176,130.63548278808594,5222800
2024-12-05,132.75150249409427,136.80391434391137,130.30608312578528,134.32855224609375,11214600
2024-12-06,134.7477443555023,135.2687721349079,130.4557761188642,133.5998992919922,4552300
2024-12-09,133.30048139343853,133.30048139343853,121.61235337839129,125.93426513671875,8959200
2024-12-10,126.26365304321322,127.59116995817865,120.40461754789985,121.47261810302734,6682900
2024-12-11,123.86814189795273,126.76272533815121,122.10145214744504,125.60488891601562,4269500
2024-12-12,123.73838823910428,125.93427493609477,123.06964182681016,124.80638885498047,3265000
2024-12-13,126.76272000473607,128.75898331189725,121.57243845217303,125.54499816894531,11623200
2024-12-16,125.98417493507674,126.97232311165935,123.35808630411141,125.7346420288086,4849100
2024-12-17,123.26925548135543,124.14760856843615,118.97728645497695,120.46450805664062,5869200
2024-12-18,121.65228815133764,122.27113254321101,112.58426262307228,113.90679168701172,6554000
2024-12-19,116.99101686417885,117.47012343584096,112.70304541215059,115.22432708740234,6615500
2024-12-20,113.98662703121106,120.773925038085,112.36965869364687,119.81571960449219,8720800
