Date,Open,High,Low,Close,Volume
2024-11-06,422.02453966760254,431.0762253877527,417.13486774555327,428.7672424316406,654300
2024-11-07,430.68811681178937,435.3837421187834,430.0186962793005,435.0635986328125,387600
2024-11-08,439.4391157872819,448.61692827947957,438.77937678131826,446.0168762207031,611400
2024-11-11,448.122108966468,448.94676047713057,433.1814771540547,433.5404357910156,653300
2024-11-12,431.74559883925946,435.8494338836956,423.4021497785038,427.45745849609375,357200
2024-11-13,427.45754054542203,430.39715881167683,425.2746548148185,426.4388427734375,348300
2024-11-14,423.9648514108176,427.9328484123384,419.44384967127513,422.965576171875,763700
2024-11-15,444.872032188957,446.51162403396245,416.6691753534337,417.5908203125,1571300
2024-11-18,420.5692346384737,437.43081561097057,420.5692346384737,431.6291809082031,855500
2024-11-19,428.5828619034461,430.561989940959,422.994666015699,426.6813049316406,480200
2024-11-20,426.68132778817886,428.2336077965144,419.96775894249964,425.8760986328125,508000
2024-11-21,427.28281969155313,436.73227785473176,424.9349923232053,432.55084228515625,486900
2024-11-22,433.08444631007046,443.93095393539124,432.6963837259421,439.8271484375,518000
2024-11-25,446.52131443226887,460.2395500149127,446.27877162160496,455.1849365234375,943500
2024-11-26,457.57160405075535,459.2305886761299,450.3632088231919,458.8037109375,453400
2024-11-27,461.7044785680053,464.0134908132277,456.95064550228176,458.25067138671875,392200
2024-11-29,460.928417652603,465.0419347321358,459.366426371978,461.98590087890625,234500
2024-12-02,460.42390855693,461.3164792305941,448.9079793120398,452.27447509765625,656800
2024-12-03,451.75058559639524,452.5169996184596,445.221321983947,448.4325866699219,619400
2024-12-04,449.6646706369114,454.56405329493634,448.0832867360513,452.93414306640625,399900
2024-12-05,453.96257477790624,456.89248149081754,451.5080425350533,451.5274353027344,466200
2024-12-06,453.54539014299723,456.708158184895,445.3765640424221,445.88104248046875,387200
2024-12-09,446.10415443496834,448.4907674368056,439.20622140291186,444.086181640625,504900
2024-12-10,443.36828956488466,444.7168419000003,438.7502646456345,440.6130065917969,489200
2024-12-11,440.63239914003054,451.1102670683293,439.97268975397435,443.7078552246094,397900
2024-12-12,444.33842469460103,454.8841812596864,443.9697548889129,451.0229187011719,485200
2024-12-13,450.40000786510797,453.4076026359515,437.73696840599985,441.0852355957031,500800
2024-12-16,440.91971304533763,444.9395818484403,435.29385122818536,435.780517578125,384800
2024-12-17,434.63201142988083,437.7564012182439,431.1572064080403,434.82666015625,406900
2024-12-18,434.7974443752453,435.0991751375237,419.0002735819829,419.22412109375,476600
2024-12-19,424.76242860887896,426.0764338315787,410.1527234577795,416.2360534667969,791200
2024-12-20,417.19961850881265,420.98586743425494,412.7028259874161,414.81494140625,932700
2024-12-23,414.24066627827426,416.1873317067041,409.2377515731633,415.16534423828125,332800
2024-12-24,416.1289731854391,420.62576599466007,413.49124959934494,419.5064392089844,214900
2024-12-26,417.0536391827846,422.76709783391954,416.90761550315716,421.0832214355469,300900
2024-12-27,416.50856016810394,420.9566682257023,416.50856016810394,418.1632080078125,291000
2024-12-30,414.97070545785544,414.97070545785544,409.4713810379187,409.5005798339844,399700
2024-12-31,410.94112707590756,412.9267046351892,407.4663217915242,408.5661926269531,333600
2025-01-02,411.32071113685004,424.149230522449,410.3571211542418,423.3316345214844,530400
2025-01-03,425.2685431969502,428.4805292771339,421.50172063618,426.3975830078125,505100
2025-01-06,428.99643726146684,428.99643726146684,412.6931126463119,413.1797790527344,589900
2025-01-07,408.6829831345847,410.72698796692987,397.5967082219004,399.94244384765625,833600
